show_id,titulo,tipo,plataforma,director,elenco,pais,fecha_agregado,anio_lanzamiento,clasificacion,duracion,genero,descripcion,puntaje
disney_tm90391,National Treasure,Movie,Disney+,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",US,2004-01-01,2004,PG,131.0,action,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",6.9
prime_s1473,Not Wanted,Movie,Prime Video,"Ida Lupino, Elmer Clifton","Sally Forrest, Keefe Brasselle, Leo Penn, Dorothy Adams, Wheaton Chambers, Rita Lupino",,,1949,18+,91.0,Drama,"Sally, a bored young waitress, lives in a do-nothing, go-nowhere town, but longs for something bigger and brighter. When suave young musician Steve comes through town, Sally falls head-over-heels and follows him on the road – until she winds up pregnant and pursued by Steve’s creepy friend.",
prime_s1727,Mary Higgins Clark's: He Sees You When You're Sleeping,Movie,Prime Video,David Winning,"Erika Eleniak, Cameron Bancroft, Udo Kier, Greg Evigan",,,2002,PG,95.0,Drama,"Sterling Brooks, a self-absorbed stock broker, is killed in a freak golfing accident. In order to secure a heavenly future, Sterling is given the opportunity to help a needy young girl reunite with her family in time for Christmas. An unusual Christmas mystery with a heartwarming finale.",
prime_s3425,A Father's Son,Movie,Prime Video,Michael Landon Jr.,"John Schneider, Cheryl Ladd, Joel Berti, Sraha Lancaster, J. Kenneth Campbell, Julie Condra, Trever O'Brien, Shawn Pyfrom, Rachel Duncan, Daveigh Chase",,,1999,13+,96.0,Drama,"Michael Landon Jr. directs this biographical story of his television star father, Michael Landon. The film deals with the scarring that Michael Jr. felt after his parents divorce when he was 15 and looks at his father's philandering ways. Michael Jr. is the son of Landon's second wife, who was deserted when Landon took up with a make-up artist on the set of Little House on the Prairie.",
prime_s9456,Eric Clapton: Standing at the Crossroads,Movie,Prime Video,Robin Bextor,"Eric Clapton, Jack Bruce, Keith Richards",,,2021,7+,92.0,Documentary,"Eric Clapton is one of the most influential guitarists of all time. He ranked 2nd in Rolling Stone magazines list of the ""100 Greatest Guitarists of All Time"" and 4th in Gibson's ""Top 50 Guitarists of All Time"". In this documentary feature he is interviewed in depth with contributions from Keith Richards, John Mayall, The Yardbirds, Jack Bruce and many more. It is the definitive Clapton biography.",
prime_s2936,C.H.U.D.,Movie,Prime Video,Douglas Cheek,"Daniel Stern, Kim Greist",,,1984,R,97.0,Fantasy,"Beneath the streets of New York city, there are hundreds of miles of subterranean tunnels unfit for anything human, unauthorized for anything experimental and unlikely to come to the surface... until now. Something horrible is loose in the sewers of Manhattan, and the city's homeless population has begun to mutate into 'Cannibalistic Humanoid Underground Dwellers.'",
netflix_s2134,Teenage Bounty Hunters,TV Show,Netflix,,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",United States,2020-08-14,2020,TV-MA,1.0,Crime TV Shows,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,
prime_s8040,Fast Getaway,Movie,Prime Video,Spiro Razatos,"Corey Haim, Cynthia Rothrock, Leo Rossi, Ken Lerner, Marcia Strassman",,,1991,PG-13,86.0,Action,"A lighthearted tale about a gang of bank robbers who fall out and split up. The brain of the gang is a boy who, with his father, successfully continues their crime spree. Annoyed at this, Lilly and her loyal, and stupid companion, decide to kidnap the boy, Nelson, and force him to work for them.",
prime_s8656,Shadowless,Movie,Prime Video,Salifu Zakari,Frank Artus Qwasi Blay Jessica Williams,,,2021,16+,105.0,Drama,"When the world they live in was against them, two lovers must face all the obstacles or let death unite them",
disney_tm591,Avengers: Infinity War,Movie,Disney+,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",US,2018-01-01,2018,PG-13,149.0,action,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",8.4
